금융기관별,구별,동별,2018 년,2019 년,2020 년,2021 년,2022 년
우리은행,종로구,사직동,2,2,1,2,2
우리은행,종로구,삼청동,1,1,1,1,1
우리은행,종로구,부암동,1,1,1,1,
우리은행,종로구,평창동,1,1,1,1,1
우리은행,종로구,무악동,,,,,
우리은행,종로구,교남동,,,1,1,1
우리은행,종로구,가회동,1,1,1,1,1
우리은행,종로구,종로1.2.3.4가동,8,8,6,6,5
우리은행,종로구,종로5.6가동,2,1,1,1,1
우리은행,종로구,이화동,,,,,
우리은행,종로구,창신1동,1,1,1,1,1
우리은행,종로구,창신2동,1,1,1,1,1
우리은행,종로구,창신3동,,,,,
우리은행,종로구,숭인1동,,,,,
우리은행,종로구,숭인2동,1,1,1,1,1
우리은행,종로구,청운효자동,1,1,1,1,1
우리은행,종로구,혜화동,2,2,2,2,2
우리은행,중구,소공동,3,3,2,2,2
우리은행,중구,회현동,4,4,4,5,5
우리은행,중구,명동,7,6,7,6,5
우리은행,중구,필동,1,1,1,1,1
우리은행,중구,장충동,2,2,2,2,
우리은행,중구,광희동,5,5,4,3,3
우리은행,중구,을지로동,4,3,3,3,3
우리은행,중구,신당5동,,,,,
우리은행,중구,황학동,1,1,1,,
우리은행,중구,중림동,2,2,2,2,2
우리은행,중구,신당동,1,1,1,1,1
우리은행,중구,다산동,1,1,1,1,1
우리은행,중구,약수동,1,1,1,1,1
우리은행,중구,청구동,,,,,
우리은행,중구,동화동,,,,,
우리은행,용산구,후암동,,,,,
우리은행,용산구,용산2가동,,,,,
우리은행,용산구,남영동,1,1,1,1,1
우리은행,용산구,원효로2동,1,1,1,1,1
우리은행,용산구,효창동,,,,,
우리은행,용산구,용문동,,,,,
우리은행,용산구,이촌1동,1,1,1,1,1
우리은행,용산구,이촌2동,,,,,
우리은행,용산구,이태원1동,,,,,1
우리은행,용산구,이태원2동,1,1,1,1,
우리은행,용산구,서빙고동,1,1,,,
우리은행,용산구,보광동,,,,,
우리은행,용산구,청파동,1,1,1,,
우리은행,용산구,원효로1동,1,1,1,1,
우리은행,용산구,한강로동,6,6,5,5,5
우리은행,용산구,한남동,2,2,2,2,2
우리은행,성동구,왕십리2동,,,,,
우리은행,성동구,마장동,1,1,1,1,1
우리은행,성동구,사근동,,,,,
우리은행,성동구,행당1동,2,1,1,1,1
우리은행,성동구,행당2동,,,,,
우리은행,성동구,응봉동,,,,,
우리은행,성동구,금호1가동,,,,,
우리은행,성동구,금호4가동,1,1,1,1,1
우리은행,성동구,성수1가1동,1,1,1,1,1
우리은행,성동구,성수1가2동,1,1,1,1,
우리은행,성동구,성수2가1동,,,,,
우리은행,성동구,성수2가3동,2,2,2,2,2
우리은행,성동구,송정동,,,,,
우리은행,성동구,용답동,1,1,,,
우리은행,성동구,왕십리도선동,,,,,
우리은행,성동구,금호2.3가동,,,,,
우리은행,성동구,옥수동,,,,,
우리은행,광진구,화양동,,,,,
우리은행,광진구,군자동,2,2,2,1,1
우리은행,광진구,중곡1동,,,,,
우리은행,광진구,중곡2동,,,,,
우리은행,광진구,중곡3동,,,,,
우리은행,광진구,중곡4동,1,1,1,1,1
우리은행,광진구,능동,,,,,
우리은행,광진구,구의1동,,,,,
우리은행,광진구,구의2동,1,1,1,,
우리은행,광진구,구의3동,1,1,1,1,1
우리은행,광진구,광장동,2,2,2,2,2
우리은행,광진구,자양1동,2,1,1,1,1
우리은행,광진구,자양2동,,,,,
우리은행,광진구,자양3동,1,1,1,1,
우리은행,광진구,자양4동,1,1,1,1,1
우리은행,동대문구,회기동,2,2,1,1,1
우리은행,동대문구,휘경1동,,,,,
우리은행,동대문구,휘경2동,1,1,2,2,2
우리은행,동대문구,청량리동,1,1,,,
우리은행,동대문구,용신동,1,1,1,1,1
우리은행,동대문구,제기동,1,1,1,1,1
우리은행,동대문구,전농1동,1,1,1,1,1
우리은행,동대문구,전농2동,1,1,,,
우리은행,동대문구,답십리1동,1,1,1,1,1
우리은행,동대문구,답십리2동,,,,,
우리은행,동대문구,장안1동,2,2,2,2,1
우리은행,동대문구,장안2동,1,1,1,1,1
우리은행,동대문구,이문1동,1,1,1,1,1
우리은행,동대문구,이문2동,,,,,
우리은행,중랑구,면목2동,,,,,
우리은행,중랑구,면목4동,,,,,
우리은행,중랑구,면목5동,,,,,
우리은행,중랑구,면목7동,1,1,1,1,1
우리은행,중랑구,상봉1동,,,,,
우리은행,중랑구,상봉2동,1,1,1,1,1
우리은행,중랑구,중화1동,,,,,
우리은행,중랑구,중화2동,1,1,1,1,
우리은행,중랑구,묵1동,1,1,1,1,1
우리은행,중랑구,묵2동,,,,,
우리은행,중랑구,망우3동,1,1,1,1,1
우리은행,중랑구,신내1동,1,1,1,1,
우리은행,중랑구,신내2동,1,1,1,1,1
우리은행,중랑구,면목본동,,,,,
우리은행,중랑구,면목3.8동,,,,,
우리은행,중랑구,망우본동,1,1,1,1,1
우리은행,성북구,돈암1동,,,,,
우리은행,성북구,돈암2동,,,,,1
우리은행,성북구,안암동,,,,,
우리은행,성북구,보문동,1,1,1,1,
우리은행,성북구,정릉1동,,,,,
우리은행,성북구,정릉2동,,,,,
우리은행,성북구,정릉3동,1,1,1,1,1
우리은행,성북구,정릉4동,,,,,
우리은행,성북구,길음1동,1,1,1,1,1
우리은행,성북구,길음2동,,,,,1
우리은행,성북구,월곡1동,1,1,1,1,1
우리은행,성북구,월곡2동,1,1,1,1,1
우리은행,성북구,장위1동,1,1,1,1,1
우리은행,성북구,장위2동,,,,,
우리은행,성북구,장위3동,,,,,
우리은행,성북구,성북동,,,,,
우리은행,성북구,삼선동,2,2,2,2,2
우리은행,성북구,동선동,,,,,
우리은행,성북구,종암동,,,,,
우리은행,성북구,석관동,1,1,1,1,1
우리은행,강북구,번1동,,,,,
우리은행,강북구,번2동,,,,,
우리은행,강북구,번3동,,,,,
우리은행,강북구,수유1동,,,,,
우리은행,강북구,수유2동,,,,,
우리은행,강북구,수유3동,2,1,1,1,1
우리은행,강북구,삼양동,,,,,
우리은행,강북구,미아동,1,1,1,1,1
우리은행,강북구,송중동,,,,,
우리은행,강북구,송천동,1,1,1,1,
우리은행,강북구,삼각산동,,,,,
우리은행,강북구,우이동,,,,,
우리은행,강북구,인수동,1,1,1,,
우리은행,도봉구,쌍문1동,,,,,
우리은행,도봉구,쌍문2동,,,,,
우리은행,도봉구,쌍문3동,,,,,
우리은행,도봉구,쌍문4동,,,,,
우리은행,도봉구,방학1동,2,2,2,2,2
우리은행,도봉구,방학2동,,,,,
우리은행,도봉구,방학3동,1,1,1,1,
우리은행,도봉구,창1동,,,,,
우리은행,도봉구,창2동,,,,,
우리은행,도봉구,창3동,,,,,
우리은행,도봉구,창4동,1,1,1,1,1
우리은행,도봉구,창5동,1,1,1,1,1
우리은행,도봉구,도봉1동,,,,,
우리은행,도봉구,도봉2동,,,,,
우리은행,노원구,월계1동,,,,,
우리은행,노원구,월계2동,,,,,
우리은행,노원구,월계3동,,,,,
우리은행,노원구,공릉2동,2,2,2,2,2
우리은행,노원구,하계1동,1,1,1,,
우리은행,노원구,하계2동,,,,,
우리은행,노원구,중계본동,,,,,
우리은행,노원구,중계1동,1,1,1,1,1
우리은행,노원구,중계4동,1,1,1,1,1
우리은행,노원구,상계1동,,,,,
우리은행,노원구,상계2동,,,,,
우리은행,노원구,상계5동,,,,,
우리은행,노원구,상계8동,1,1,1,1,1
우리은행,노원구,상계9동,,,,,
우리은행,노원구,상계10동,,,,,
우리은행,노원구,상계3.4동,,,,,
우리은행,노원구,상계6.7동,4,2,2,2,2
우리은행,노원구,중계2.3동,1,1,1,1,1
우리은행,노원구,공릉1동,1,1,,,
우리은행,은평구,녹번동,1,1,1,1,1
우리은행,은평구,불광1동,,,,,
우리은행,은평구,갈현1동,,,,,
우리은행,은평구,갈현2동,,,,,
우리은행,은평구,구산동,,,,,
우리은행,은평구,대조동,2,2,2,2,2
우리은행,은평구,응암1동,1,1,1,1,1
우리은행,은평구,응암2동,,,,,
